Name	image_id	face_id	url	bbox	sha256	label
Brad Pitt	14018	8078	http://static4.wikia.nocookie.net/__cb20130808202627/marvelmovies/images/e/ee/Brad-Pitt.jpg	"1,203,688,571,105"	0cd330e9592f2de862551277b684a21f893514a5d3d45d0ae5ef2fcf4ac9afb4	1
Brad Pitt	14019	8079	http://upload.wikimedia.org/wikipedia/commons/3/3b/Brad_Pitt_2012.jpg	"43,895,021,342,646"	e1ce361fc14410facb3d1e7e86045d4375bd501efc5f629f4c1c399b866d0337	1
Brad Pitt	14020	8080	http://www.hdwallpapers3d.com/wp-content/uploads/2013/05/Brad-Pitt-photoshoot-HQ-brad-pitt-19187944-1000-1390.jpg	"1,363,818,391,084"	8a447d8334836beb1a7a6d08e1378d1939dfaf44918164632249460286e164c0	1
Brad Pitt	14021	8081	http://www.thedrinksbusiness.com/wordpress/wp-content/uploads/2012/05/Brad.jpg	"117,147,368,398"	9d4e3c8e19611847d2d2e4d7943b2809ab57a03dfa041197aa11d7b7287d116e	1
Brad Pitt	14022	8082	http://alumnicuza.org/wp-content/uploads/2013/06/Brad-Pitt_151.jpg	"198,232,743,777"	18a8ed4ea3c2ea921100dd1c8b1efbccbf3b950bb91d9f4f9db3c9e0574668fc	1
Brad Pitt	14023	8083	http://i1.cdnds.net/13/11/618x834/brad-pitt.jpg	"80,216,506,642"	f907c269b5fa6b0aa7cbee6ecb9b284502a985fcba3d9c0c87e27534c2237b63	1
Brad Pitt	14024	8084	http://www.biography.com/imported/images/Biography/Images/Profiles/P/Brad-Pitt-9441989-2-402.jpg	"77,90,340,353"	862849bfab5a6b01ab839319fbeb49be07ade6a06150213b8316c3c9b80d0ec2	1
Brad Pitt	14026	8085	http://i2.mirror.co.uk/incoming/article1461271.ece/ALTERNATES/s615b/Brad%252520Pitt-1461271&	"164,99,421,356"	649b727329a7548d733de5907d397f29658399f6fd8efa0d54f83bfd6f089ca8	1
Brad Pitt	14027	8086	http://makeupthatdoesntsuck.com/wp-content/uploads/2012/12/brad-pitt-27072_getty_20080730182131.png	"173,350,127,391,507"	a28727daab3dc41b76f30aca5da7d4d4964ffbc437e51653dd0e02feed4299bc	1
Brad Pitt	14028	8087	http://images2.fanpop.com/image/photos/10300000/pitt-brad-pitt-10357733-1000-1315.jpg	"484,137,081,073"	9fead4fdd9de4d39669e0d0aff4720623e98969dbe63fbf196ddab5572da209e	1
Brad Pitt	14029	8088	http://img2.timeinc.net/people/i/2012/news/121210/brad-pitt-300.jpg	"77,53,210,186"	1cd4ef43d15db5dbdce52a36b6d44d635a77d9c83c0e8ee196539275e2c40946	1
Brad Pitt	14031	8089	http://www.whitegadget.com/attachments/pc-wallpapers/142833d1389418991-brad-pitt-brad-pitt-image.jpg	"248,340,808,900"	1fdc54eda71180353c1aec01fd83e5736fef21735b650826778cdca0a31158ac	1
Brad Pitt	14032	8090	http://assets-s3.usmagazine.com/uploads/assets/articles/52305-brad-pitt-named-new-face-of-chanel-no-5/1336574416_brad-pitt-lg.jpg	"78,132,369,423"	c57003cbd94e33a66a6479d17eef0bba3773e157ca310d487b36399142b41765	1
Brad Pitt	14034	8091	http://images2.fanpop.com/image/photos/10300000/pitt-brad-pitt-10357723-1200-944.jpg	"371,210,849,688"	f12b8ff468fef177468956d773bf70398aabcc4e46fd7ea7c3bb9d8c2b165ae0	1
Brad Pitt	14035	8092	http://drop.ndtv.com/Movies/images/articles/big/brad-pitt-new.jpg	"244,103,432,291"	baf3596d0b23ed50fe6bccc5f9ca27b68ffc54030cf0d2b565f723ecd8524241	1
Brad Pitt	14036	8093	http://easy4us.files.wordpress.com/2011/02/brad-pitt-1-8.jpg	"275,184,627,536"	8d6076996e99de7200b2dfcf0404fba0dc1f3f359c12721ec3ec6997285f5e2c	1
Brad Pitt	14037	8094	http://www.biography.com/imported/images/Biography/Images/Profiles/P/Brad-Pitt-9441989-3-402.jpg	"123,104,358,339"	10b5a14ab2e46b91c7456c5a167faeec50b83ab78d045f1e9661e22913838e96	1
